cohort_code,modality,platform,n_samples,n_expression_files,n_files_local,expression_file_status,source_expressions,mapped_features,unique_canonical_genes,enters_core_gene_space
GSE226335,bulk RNA-seq,NOT_MEASURED,1,0,0,SOURCE_NOT_LOCAL,,0,0,False
GSE227001,bulk RNA-seq,NOT_MEASURED,1,0,0,SOURCE_NOT_LOCAL,,0,0,False
GSE227122,bulk RNA-seq,NOT_MEASURED,1,0,0,SOURCE_NOT_LOCAL,,0,0,False
GSE227903,scRNA-seq,NOT_MEASURED,28,0,0,SOURCE_NOT_LOCAL,,0,0,False
GSE228279,bulk RNA-seq,NOT_MEASURED,1,0,0,SOURCE_NOT_LOCAL,,0,0,False
GSE229908,bulk RNA-seq,NOT_MEASURED,1,0,0,SOURCE_NOT_LOCAL,,0,0,False
GSE232525,bulk RNA-seq,NOT_MEASURED,1,0,0,SOURCE_NOT_LOCAL,,0,0,False
GSE234261,bulk RNA-seq,NOT_MEASURED,1,0,0,SOURCE_NOT_LOCAL,,0,0,False
GSE235863,scRNA-seq,NOT_MEASURED,60,0,0,SOURCE_NOT_LOCAL,,0,0,False
GSE237579,bulk RNA-seq,NOT_MEASURED,1,0,0,SOURCE_NOT_LOCAL,,0,0,False
GSE23988,bulk RNA-seq,NOT_MEASURED,1,1,0,SOURCE_NOT_LOCAL,,0,0,False
GSE242790,bulk RNA-seq,NOT_MEASURED,1,0,0,SOURCE_NOT_LOCAL,,0,0,False
GSE244663,bulk RNA-seq,NOT_MEASURED,1,0,0,SOURCE_NOT_LOCAL,,0,0,False
GSE244739,scRNA-seq,NOT_MEASURED,14,0,0,SOURCE_NOT_LOCAL,,0,0,False
GSE246613,bulk RNA-seq,NOT_MEASURED,1,0,0,SOURCE_NOT_LOCAL,,0,0,False
GSE248401,bulk RNA-seq,NOT_MEASURED,1,0,0,SOURCE_NOT_LOCAL,,0,0,False
GSE264586,scRNA-seq,NOT_MEASURED,19,0,0,SOURCE_NOT_LOCAL,,0,0,False
GSE268903,bulk RNA-seq,NOT_MEASURED,1,0,0,SOURCE_NOT_LOCAL,,0,0,False
GSE310856,bulk RNA-seq,NOT_MEASURED,33,1,1,LOCAL_SOURCE_PRESENT,GSE310856_bulk,39479,39362,True
GSE319641,bulk RNA-seq,unspecified_author_ComBat_TPM,401,1,1,LOCAL_SOURCE_PRESENT,GSE319641_bulk,23889,23884,True
GSE319794,bulk RNA-seq,NOT_MEASURED,41,1,1,LOCAL_SOURCE_PRESENT,GSE319794_bulk,18811,18800,True
GSE3578,microarray,GPL2895,78,1,1,LOCAL_SOURCE_PRESENT,GSE3578_array,23841,18423,False
GSE41998,microarray,NOT_MEASURED,1,1,0,SOURCE_NOT_LOCAL,,0,0,False
GSE42822,bulk RNA-seq,NOT_MEASURED,1,1,0,SOURCE_NOT_LOCAL,,0,0,False
