sign_pattern_index,null_mean_delta_L
635,0.0587015076267964
636,0.0587740986501019
637,0.0586949365509533
638,0.058752573676216
639,0.0586734115770674
640,-0.0591010545618135
641,-0.0591802166609621
642,-0.0591225795356993
643,-0.059201741634848
644,-0.0591291506115425
645,-0.0592083127106912
646,-0.0591506755854284
647,-0.059229837684577
648,-0.0185223387260671
649,-0.0186015008252157
650,-0.018543863699953
651,-0.0186230257991016
652,-0.0185504347757961
653,-0.0186295968749448
654,-0.018571959749682
655,-0.0186511218488307
656,0.0147459030380028
657,0.0146667409388542
658,0.0147243780641169
659,0.0146452159649683
660,0.0147178069882738
661,0.0146386448891251
662,0.0146962820143879
663,0.0146171199152392
664,0.0553246188737492
665,0.0552454567746006
666,0.0553030938998633
667,0.0552239318007147
668,0.0552965228240201
669,0.0552173607248715
670,0.0552749978501343
671,0.0551958357509856
672,-0.0595274648690186
673,-0.0596066269681673
674,-0.0595489898429045
675,-0.0596281519420532
676,-0.0595555609187477
677,-0.0596347230178963
678,-0.0595770858926336
679,-0.0596562479917822
680,-0.0189487490332723
681,-0.0190279111324209
682,-0.0189702740071581
683,-0.0190494361063068
684,-0.0189768450830013
685,-0.01905600718215
686,-0.0189983700568872
687,-0.0190775321560358
688,0.0143194927307976
689,0.014240330631649
690,0.0142979677569118
691,0.0142188056577631
692,0.0142913966810686
693,0.0142122345819199
694,0.0142698717071827
695,0.0141907096080341
696,0.054898208566544
697,0.0548190464673954
698,0.0548766835926581
699,0.0547975214935095
700,0.054870112516815
701,0.0547909504176663
702,0.0548485875429291
703,0.0547694254437804
704,-0.05557815319779
705,-0.0556573152969386
706,-0.0555996781716759
707,-0.0556788402708245
708,-0.0556062492475191
709,-0.0556854113466677
710,-0.0556277742214049
711,-0.0557069363205536
712,-0.0149994373620436
713,-0.0150785994611923
714,-0.0150209623359295
715,-0.0151001244350781
716,-0.0150275334117727
717,-0.0151066955109213
718,-0.0150490583856586
719,-0.0151282204848072
720,0.0182688044020263
721,0.0181896423028776
722,0.0182472794281404
723,0.0181681173289918
724,0.0182407083522972
725,0.0181615462531486
726,0.0182191833784113
727,0.0181400212792627
728,0.0588475202377727
729,0.058768358138624
730,0.0588259952638868
731,0.0587468331647382
732,0.0588194241880436
733,0.058740262088895
734,0.0587978992141577
735,0.0587187371150091
736,-0.0560045635049952
737,-0.0560837256041438
738,-0.0560260884788811
739,-0.0561052505780297
740,-0.0560326595547242
741,-0.0561118216538729
742,-0.0560541845286101
743,-0.0561333466277588
744,-0.0154258476692488
745,-0.0155050097683974
746,-0.0154473726431347
747,-0.0155265347422833
748,-0.0154539437189779
749,-0.0155331058181265
750,-0.0154754686928637
751,-0.0155546307920124
752,0.0178423940948211
753,0.0177632319956725
754,0.0178208691209352
755,0.0177417070217866
756,0.017814298045092
757,0.0177351359459434
758,0.0177927730712062
759,0.0177136109720575
760,0.0584211099305675
761,0.0583419478314188
762,0.0583995849566816
763,0.058320422857533
764,0.0583930138808384
765,0.0583138517816898
766,0.0583714889069525
767,0.0582923268078039
768,-0.0537483461310653
769,-0.053827508230214
770,-0.0537698711049512
771,-0.0538490332040998
772,-0.0537764421807944
773,-0.053855604279943
774,-0.0537979671546803
775,-0.0538771292538289
776,-0.0131696302953189
777,-0.0132487923944676
778,-0.0131911552692048
779,-0.0132703173683534
780,-0.013197726345048
781,-0.0132768884441966
782,-0.0132192513189339
783,-0.0132984134180825
784,0.020098611468751
785,0.0200194493696023
786,0.0200770864948651
787,0.0199979243957165
788,0.0200705154190219
789,0.0199913533198733
790,0.020048990445136
791,0.0199698283459874
792,0.0606773273044973
793,0.0605981652053487
794,0.0606558023306115
795,0.0605766402314628
796,0.0606492312547683
797,0.0605700691556197
798,0.0606277062808824
799,0.0605485441817338
800,-0.0541747564382705
801,-0.0542539185374191
802,-0.0541962814121564
803,-0.054275443511305
804,-0.0542028524879996
805,-0.0542820145871482
806,-0.0542243774618854
807,-0.0543035395610341
808,-0.0135960406025241
809,-0.0136752027016727
810,-0.01361756557641
811,-0.0136967276755586
812,-0.0136241366522532
813,-0.0137032987514018
814,-0.0136456616261391
815,-0.0137248237252877
816,0.0196722011615458
817,0.0195930390623971
818,0.0196506761876599
819,0.0195715140885113
820,0.0196441051118167
821,0.0195649430126681
822,0.0196225801379308
823,0.0195434180387822
824,0.0602509169972922
825,0.0601717548981435
826,0.0602293920234063
827,0.0601502299242576
828,0.0602228209475631
829,0.0601436588484145
830,0.0602012959736772
831,0.0601221338745286
832,-0.0502254447670419
833,-0.0503046068661905
834,-0.0502469697409277
835,-0.0503261318400764
836,-0.0502535408167709
837,-0.0503327029159196
838,-0.0502750657906568
839,-0.0503542278898054
840,-0.0096467289312955
841,-0.0097258910304441
842,-0.0096682539051813
843,-0.00974741600433
844,-0.0096748249810245
845,-0.0097539870801732
846,-0.0096963499549104
847,-0.0097755120540591
848,0.0236215128327744
849,0.0235423507336258
850,0.0235999878588886
851,0.0235208257597399
852,0.0235934167830454
853,0.0235142546838967
854,0.0235718918091595
855,0.0234927297100108
856,0.0642002286685208
857,0.0641210665693722
858,0.0641787036946349
859,0.0640995415954863
860,0.0641721326187917
861,0.0640929705196431
862,0.0641506076449059
863,0.0640714455457572
864,-0.050651855074247
865,-0.0507310171733957
866,-0.0506733800481329
867,-0.0507525421472816
868,-0.0506799511239761
869,-0.0507591132231247
870,-0.050701476097862
871,-0.0507806381970106
872,-0.0100731392385007
873,-0.0101523013376493
874,-0.0100946642123865
875,-0.0101738263115352
876,-0.0101012352882297
877,-0.0101803973873784
878,-0.0101227602621156
879,-0.0102019223612642
880,0.0231951025255692
881,0.0231159404264206
882,0.0231735775516834
883,0.0230944154525347
884,0.0231670064758402
885,0.0230878443766915
886,0.0231454815019543
887,0.0230663194028057
888,0.0637738183613156
889,0.063694656262167
890,0.0637522933874298
891,0.0636731312882811
892,0.0637457223115866
893,0.0636665602124379
894,0.0637241973377007
895,0.063645035238552
896,-0.0541294309003288
897,-0.0542085929994774
898,-0.0541509558742147
899,-0.0542301179733633
900,-0.0541575269500579
901,-0.0542366890492065
902,-0.0541790519239437
903,-0.0542582140230924
904,-0.0135507150645824
905,-0.013629877163731
906,-0.0135722400384683
907,-0.0136514021376169
908,-0.0135788111143115
909,-0.0136579732134601
910,-0.0136003360881973
911,-0.013679498187346
912,0.0197175266994875
913,0.0196383646003389
914,0.0196960017256016
915,0.019616839626453
916,0.0196894306497584
917,0.0196102685506098
918,0.0196679056758726
919,0.0195887435767239
920,0.0602962425352339
921,0.0602170804360852
922,0.060274717561348
923,0.0601955554621994
924,0.0602681464855048
925,0.0601889843863562
926,0.0602466215116189
927,0.0601674594124703
928,-0.054555841207534
929,-0.0546350033066826
930,-0.0545773661814198
931,-0.0546565282805685
932,-0.054583937257263
933,-0.0546630993564117
934,-0.0546054622311489
935,-0.0546846243302975
936,-0.0139771253717876
937,-0.0140562874709362
938,-0.0139986503456735
939,-0.0140778124448221
940,-0.0140052214215166
941,-0.0140843835206653
942,-0.0140267463954025
943,-0.0141059084945512
944,0.0192911163922823
945,0.0192119542931337
946,0.0192695914183964
947,0.0191904293192478
948,0.0192630203425532
949,0.0191838582434046
950,0.0192414953686674
951,0.0191623332695187
952,0.0598698322280287
953,0.0597906701288801
954,0.0598483072541428
955,0.0597691451549942
956,0.0598417361782996
957,0.059762574079151
958,0.0598202112044137
959,0.0597410491052651
960,-0.0506065295363053
961,-0.050685691635454
962,-0.0506280545101912
963,-0.0507072166093398
964,-0.0506346255860344
965,-0.050713787685183
966,-0.0506561505599203
967,-0.0507353126590689
968,-0.0100278137005589
969,-0.0101069757997076
970,-0.0100493386744448
971,-0.0101285007735935
972,-0.010055909750288
973,-0.0101350718494366
974,-0.0100774347241739
975,-0.0101565968233225
976,0.023240428063511
977,0.0231612659643623
978,0.0232189030896251
979,0.0231397409904764
980,0.0232123320137819
981,0.0231331699146333
982,0.023190807039896
983,0.0231116449407474
984,0.0638191438992574
985,0.0637399818001087
986,0.0637976189253715
987,0.0637184568262228
988,0.0637910478495283
989,0.0637118857503796
990,0.0637695228756424
991,0.0636903607764938
992,-0.0510329398435105
993,-0.0511121019426591
994,-0.0510544648173964
995,-0.051133626916545
996,-0.0510610358932396
997,-0.0511401979923882
998,-0.0510825608671254
999,-0.0511617229662741
1000,-0.0104542240077641
1001,-0.0105333861069128
1002,-0.01047574898165
1003,-0.0105549110807986
1004,-0.0104823200574932
1005,-0.0105614821566418
1006,-0.0105038450313791
1007,-0.0105830071305277
1008,0.0228140177563058
1009,0.0227348556571571
1010,0.0227924927824199
1011,0.0227133306832713
1012,0.0227859217065767
1013,0.0227067596074281
1014,0.0227643967326908
1015,0.0226852346335422
1016,0.0633927335920521
1017,0.0633135714929035
1018,0.0633712086181663
1019,0.0632920465190177
1020,0.0633646375423231
1021,0.0632854754431745
1022,0.0633431125684372
1023,0.0632639504692886
1024,-0.081235902939313
1025,-0.0813150650384616
1026,-0.0812574279131989
1027,-0.0813365900123475
1028,-0.0812639989890421
1029,-0.0813431610881907
1030,-0.081285523962928
1031,-0.0813646860620766
1032,-0.0406571871035666
1033,-0.0407363492027152
1034,-0.0406787120774525
1035,-0.0407578741766011
1036,-0.0406852831532957
1037,-0.0407644452524443
1038,-0.0407068081271816
1039,-0.0407859702263302
1040,-0.0073889453394966
1041,-0.0074681074386453
1042,-0.0074104703133825
1043,-0.0074896324125311
1044,-0.0074170413892257
1045,-0.0074962034883743
1046,-0.0074385663631116
1047,-0.0075177284622602
1048,0.0331897704962497
1049,0.033110608397101
1050,0.0331682455223638
1051,0.0330890834232152
1052,0.0331616744465206
1053,0.033082512347372
1054,0.0331401494726347
1055,0.0330609873734861
1056,-0.0816623132465182
1057,-0.0817414753456668
1058,-0.0816838382204041
1059,-0.0817630003195527
1060,-0.0816904092962473
1061,-0.0817695713953959
1062,-0.0817119342701331
1063,-0.0817910963692818
1064,-0.0410835974107718
1065,-0.0411627595099204
1066,-0.0411051223846577
1067,-0.0411842844838063
1068,-0.0411116934605009
1069,-0.0411908555596495
1070,-0.0411332184343867
1071,-0.0412123805335354
1072,-0.0078153556467018
1073,-0.0078945177458504
1074,-0.0078368806205877
1075,-0.0079160427197363
1076,-0.0078434516964309
1077,-0.0079226137955795
1078,-0.0078649766703167
1079,-0.0079441387694654
1080,0.0327633601890445
1081,0.0326841980898959
1082,0.0327418352151586
1083,0.03266267311601
1084,0.0327352641393154
1085,0.0326561020401668
1086,0.0327137391654295
1087,0.0326345770662809
1088,-0.0777130015752896
1089,-0.0777921636744382
1090,-0.0777345265491754
1091,-0.0778136886483241
1092,-0.0777410976250186
1093,-0.0778202597241672
1094,-0.0777626225989045
1095,-0.0778417846980531
1096,-0.0371342857395432
1097,-0.0372134478386918
1098,-0.037155810713429
1099,-0.0372349728125777
1100,-0.0371623817892722
1101,-0.0372415438884209
1102,-0.0371839067631581
1103,-0.0372630688623067
1104,-0.0038660439754732
1105,-0.0039452060746218
1106,-0.003887568949359
1107,-0.0039667310485077
1108,-0.0038941400252022
1109,-0.0039733021243509
1110,-0.0039156649990881
1111,-0.0039948270982367
1112,0.0367126718602731
1113,0.0366335097611245
1114,0.0366911468863873
1115,0.0366119847872386
1116,0.0366845758105441
1117,0.0366054137113954
1118,0.0366630508366582
1119,0.0365838887375096
1120,-0.0781394118824947
1121,-0.0782185739816434
1122,-0.0781609368563806
1123,-0.0782400989555292
1124,-0.0781675079322238
1125,-0.0782466700313724
1126,-0.0781890329061097
